INFO: 2021-12-15 15:39:55,834 Covid data API request
DEBUG: 2021-12-15 15:39:55,838 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:55,927 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:55,932 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:55,987 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-15 15:39:55,993 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:56,053 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:56,057 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:56,119 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=2 HTTP/1.1" 204 0
INFO: 2021-12-15 15:39:56,131 Opened covid csv file
DEBUG: 2021-12-15 15:39:56,135 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:56,597 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=Covid HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:56,601 News API request
DEBUG: 2021-12-15 15:39:56,605 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:57,070 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=COVID-19 HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:57,072 News API request
DEBUG: 2021-12-15 15:39:57,074 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:57,830 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=coronavirus HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:57,833 News API request
INFO: 2021-12-15 15:39:57,836 Covid data API request
DEBUG: 2021-12-15 15:39:57,838 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:57,908 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dnation%3BareaName%3DEngland&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:57,913 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:57,980 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dnation%3BareaName%3DEngland&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-15 15:39:57,985 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,048 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dnation%3BareaName%3DEngland&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:58,053 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,274 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dnation%3BareaName%3DEngland&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=2 HTTP/1.1" 204 0
INFO: 2021-12-15 15:39:58,285 Opened covid csv file
INFO: 2021-12-15 15:39:58,287 Covid data API request
DEBUG: 2021-12-15 15:39:58,289 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,374 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:58,379 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,432 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=json&page=2 HTTP/1.1" 204 0
DEBUG: 2021-12-15 15:39:58,436 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,503 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=1 HTTP/1.1" 200 None
DEBUG: 2021-12-15 15:39:58,506 Starting new HTTPS connection (1): api.coronavirus.data.gov.uk:443
DEBUG: 2021-12-15 15:39:58,563 https://api.coronavirus.data.gov.uk:443 "GET /v1/data?filters=areaType%3Dltla%3BareaName%3DExeter&structure=%7B%22areaCode%22%3A%22areaCode%22%2C%22areaName%22%3A%22areaName%22%2C%22areaType%22%3A%22areaType%22%2C%22date%22%3A%22date%22%2C%22cumDailyNsoDeathsByDeathDate%22%3A%22cumDailyNsoDeathsByDeathDate%22%2C%22hospitalCases%22%3A%22hospitalCases%22%2C%22newCasesBySpecimenDate%22%3A%22newCasesBySpecimenDate%22%7D&format=csv&page=2 HTTP/1.1" 204 0
INFO: 2021-12-15 15:39:58,576 Opened covid csv file
DEBUG: 2021-12-15 15:39:58,579 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:59,031 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=Covid HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:59,033 News API request
DEBUG: 2021-12-15 15:39:59,034 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:59,189 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=COVID-19 HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:59,193 News API request
DEBUG: 2021-12-15 15:39:59,196 Starting new HTTPS connection (1): newsapi.org:443
DEBUG: 2021-12-15 15:39:59,648 https://newsapi.org:443 "GET /v2/everything?apiKey=7a85711125554f4e96297de16e0b3653&q=coronavirus HTTP/1.1" 200 None
INFO: 2021-12-15 15:39:59,650 News API request
INFO: 2021-12-15 15:39:59,656  * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
INFO: 2021-12-15 15:40:07,355 127.0.0.1 - - [15/Dec/2021 15:40:07] "[32mGET / HTTP/1.1[0m" 302 -
INFO: 2021-12-15 15:40:07,376 127.0.0.1 - - [15/Dec/2021 15:40:07] "GET /index HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:07,608 127.0.0.1 - - [15/Dec/2021 15:40:07] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:10,101 Article removed from list
INFO: 2021-12-15 15:40:10,103 127.0.0.1 - - [15/Dec/2021 15:40:10] "GET /index?notif=Texas+Apple+store+closes+due+to+COVID-19+outbreak HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:10,118 127.0.0.1 - - [15/Dec/2021 15:40:10] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:10,488 Article removed from list
INFO: 2021-12-15 15:40:10,490 127.0.0.1 - - [15/Dec/2021 15:40:10] "GET /index?notif=How+Science+Will+Solve+the+Omicron+Variant’s+Mysteries HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:10,505 127.0.0.1 - - [15/Dec/2021 15:40:10] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:10,878 Article removed from list
INFO: 2021-12-15 15:40:10,880 127.0.0.1 - - [15/Dec/2021 15:40:10] "GET /index?notif=Covid-19%3A+Ireland+closes+nightclubs+and+tightens+Covid+rules HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:10,895 127.0.0.1 - - [15/Dec/2021 15:40:10] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:12,371 Article removed from list
INFO: 2021-12-15 15:40:12,373 127.0.0.1 - - [15/Dec/2021 15:40:12] "GET /index?notif=Teens+Ages+16+and+17+Can+Now+Get+COVID-19+Booster+Shots HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:12,388 127.0.0.1 - - [15/Dec/2021 15:40:12] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:13,083 Article removed from list
INFO: 2021-12-15 15:40:13,085 127.0.0.1 - - [15/Dec/2021 15:40:13] "GET /index?notif=Could+Covid+Lead+to+Progress%3F HTTP/1.1" 200 -
INFO: 2021-12-15 15:40:13,101 127.0.0.1 - - [15/Dec/2021 15:40:13] "[36mGET /static/images/covid_image.jpg HTTP/1.1[0m" 304 -
INFO: 2021-12-15 15:40:28,239 Covid data and news update scheduled
